Reporting country,Reference period,Item code,Item name,IORP type,Value (euro millions),Date of extraction (yyyymmdd)
AT,2020,R0010,Investments,DB,4688.888402,20250716
AT,2020,R0010,Investments,DC,20380.591275,20250716
AT,2020,R0018,Property (other than for own use),DB,11.57016,20250716
AT,2020,R0018,Property (other than for own use),DC,42.74984,20250716
AT,2020,R0019,Property (other than for own use) reported by exempted IORPs,DB,,20250716
AT,2020,R0019,Property (other than for own use) reported by exempted IORPs,DC,,20250716
AT,2020,R0020,Property (other than for own use) reported by non-exempted IORPs,DB,11.57016,20250716
AT,2020,R0020,Property (other than for own use) reported by non-exempted IORPs,DC,42.74984,20250716
AT,2020,R0028,Equities,DB,3.992789,20250716
AT,2020,R0028,Equities,DC,70.715466,20250716
AT,2020,R0029,Equities reported by exempted IORPs,DB,,20250716
AT,2020,R0029,Equities reported by exempted IORPs,DC,,20250716
AT,2020,R0030,Equities reported by non-exempted IORPs,DB,3.992789,20250716
AT,2020,R0030,Equities reported by non-exempted IORPs,DC,70.715466,20250716
AT,2020,R0040,Equities - listed,DB,,20250716
AT,2020,R0040,Equities - listed,DC,,20250716
AT,2020,R0050,Equities - unlisted,DB,3.992789,20250716
AT,2020,R0050,Equities - unlisted,DC,70.715466,20250716
AT,2020,R0058,Bonds,DB,73.444141,20250716
AT,2020,R0058,Bonds,DC,411.008778,20250716
AT,2020,R0059,Bonds reported by exempted IORPs,DB,,20250716
AT,2020,R0059,Bonds reported by exempted IORPs,DC,,20250716
AT,2020,R0060,Bonds reported by non-exempted IORPs,DB,73.444141,20250716
AT,2020,R0060,Bonds reported by non-exempted IORPs,DC,411.008778,20250716
AT,2020,R0070,Government Bonds,DB,25.371921,20250716
AT,2020,R0070,Government Bonds,DC,165.828005,20250716
AT,2020,R0080,Corporate Bonds,DB,47.361065,20250716
AT,2020,R0080,Corporate Bonds,DC,240.949922,20250716
AT,2020,R0090,Financial,DB,34.935758,20250716
AT,2020,R0090,Financial,DC,169.981083,20250716
AT,2020,R0100,Non-financial,DB,12.425307,20250716
AT,2020,R0100,Non-financial,DC,70.96884,20250716
AT,2020,R0110,Bonds other than Government Bonds and Corporate Bonds,DB,0.711154,20250716
AT,2020,R0110,Bonds other than Government Bonds and Corporate Bonds,DC,4.23085,20250716
AT,2020,R0118,Collective investment undertaking,DB,4595.462724,20250716
AT,2020,R0118,Collective investment undertaking,DC,19856.06834,20250716
AT,2020,R0119,Collective investment undertaking reported by exempted IORPs,DB,,20250716
AT,2020,R0119,Collective investment undertaking reported by exempted IORPs,DC,,20250716
AT,2020,R0120,Collective investment undertaking reported by non-exempted IORPs,DB,4595.462724,20250716
AT,2020,R0120,Collective investment undertaking reported by non-exempted IORPs,DC,19856.06834,20250716
AT,2020,R0130,Bonds,DB,1504.750665,20250716
AT,2020,R0130,Bonds,DC,6383.952319,20250716
AT,2020,R0140,Equity,DB,1368.200312,20250716
AT,2020,R0140,Equity,DC,5998.6368,20250716
AT,2020,R0150,Mixed,DB,1043.75078,20250716
