Reporting country,Reference period,Item code,Item name,IORP type,Value (euro millions),Date of extraction (yyyymmdd)
AT,2020,R0010,Administrative expenses,DB,5.05983,20250716
AT,2020,R0010,Administrative expenses,DC,23.580576,20250716
AT,2020,R0020,Investment expenses,DB,4.18248,20250716
AT,2020,R0020,Investment expenses,DC,21.953571,20250716
AT,2020,R0050,Total expenses,DB,9.24231,20250716
AT,2020,R0050,Total expenses,DC,45.534147,20250716
AT,2021,R0010,Administrative expenses,DB,4.859845,20250716
AT,2021,R0010,Administrative expenses,DC,22.994462,20250716
AT,2021,R0020,Investment expenses,DB,4.636428,20250716
AT,2021,R0020,Investment expenses,DC,23.957684,20250716
AT,2021,R0050,Total expenses,DB,9.496273,20250716
AT,2021,R0050,Total expenses,DC,46.952145,20250716
AT,2022,R0010,Administrative expenses,DB,5.012204,20250716
AT,2022,R0010,Administrative expenses,DC,23.681299,20250716
AT,2022,R0020,Investment expenses,DB,4.802123,20250716
AT,2022,R0020,Investment expenses,DC,24.344321,20250716
AT,2022,R0050,Total expenses,DB,9.814327,20250716
AT,2022,R0050,Total expenses,DC,48.025621,20250716
AT,2023,R0010,Administrative expenses,DB,5.118538,20250716
AT,2023,R0010,Administrative expenses,DC,26.397707,20250716
AT,2023,R0020,Investment expenses,DB,5.052093,20250716
AT,2023,R0020,Investment expenses,DC,25.178168,20250716
AT,2023,R0050,Total expenses,DB,10.170631,20250716
AT,2023,R0050,Total expenses,DC,51.575875,20250716
AT,2024,R0010,Administrative expenses,DB,5.639888,20250716
AT,2024,R0010,Administrative expenses,DC,29.410809,20250716
AT,2024,R0020,Investment expenses,DB,5.025068,20250716
AT,2024,R0020,Investment expenses,DC,27.580315,20250716
AT,2024,R0050,Total expenses,DB,10.664957,20250716
AT,2024,R0050,Total expenses,DC,56.991124,20250716
BE,2020,R0010,Administrative expenses,DB,61.228568,20250716
BE,2020,R0010,Administrative expenses,DC,0.684075,20250716
BE,2020,R0020,Investment expenses,DB,31.005941,20250716
BE,2020,R0020,Investment expenses,DC,0.201632,20250716
BE,2020,R0030,Tax expenses,DB,7.785805,20250716
BE,2020,R0030,Tax expenses,DC,0.017844,20250716
BE,2020,R0040,Other expenses,DB,457.343153,20250716
BE,2020,R0040,Other expenses,DC,0.026121,20250716
BE,2020,R0050,Total expenses,DB,557.363467,20250716
BE,2020,R0050,Total expenses,DC,0.929672,20250716
BE,2021,R0010,Administrative expenses,DB,82.249354,20250716
BE,2021,R0010,Administrative expenses,DC,1.017379,20250716
BE,2021,R0020,Investment expenses,DB,31.229279,20250716
BE,2021,R0020,Investment expenses,DC,0.700461,20250716
BE,2021,R0030,Tax expenses,DB,5.328759,20250716
BE,2021,R0030,Tax expenses,DC,0.021564,20250716
BE,2021,R0040,Other expenses,DB,510.944985,20250716
BE,2021,R0040,Other expenses,DC,0.062975,20250716
BE,2021,R0050,Total expenses,DB,629.752377,20250716
BE,2021,R0050,Total expenses,DC,1.802379,20250716
BE,2022,R0010,Administrative expenses,DB,86.04798,20250716
BE,2022,R0010,Administrative expenses,DC,1.540651,20250716
BE,2022,R0020,Investment expenses,DB,33.32245,20250716
BE,2022,R0020,Investment expenses,DC,1.463856,20250716
BE,2022,R0030,Tax expenses,DB,11.71512,20250716
BE,2022,R0030,Tax expenses,DC,0.032996,20250716
BE,2022,R0040,Other expenses,DB,151.90407,20250716
BE,2022,R0040,Other expenses,DC,1.388201,20250716
BE,2022,R0050,Total expenses,DB,282.98962,20250716
BE,2022,R0050,Total expenses,DC,4.425704,20250716
BE,2023,R0010,Administrative expenses,DB,80.33416,20250716
BE,2023,R0010,Administrative expenses,DC,3.085943,20250716
BE,2023,R0020,Investment expenses,DB,35.527603,20250716
BE,2023,R0020,Investment expenses,DC,3.865561,20250716
BE,2023,R0030,Tax expenses,DB,15.711592,20250716
BE,2023,R0030,Tax expenses,DC,0.042914,20250716
BE,2023,R0040,Other expenses,DB,151.118052,20250716
BE,2023,R0040,Other expenses,DC,0.102917,20250716
BE,2023,R0050,Total expenses,DB,282.691407,20250716
BE,2023,R0050,Total expenses,DC,7.097335,20250716
BE,2024,R0010,Administrative expenses,DB,78.886121,20250716
BE,2024,R0010,Administrative expenses,DC,3.888144,20250716
BE,2024,R0020,Investment expenses,DB,44.353319,20250716
