Reporting country,Reference period,Item code,Item name,IORP type,Value,Date of extraction (yyyymmdd)
AT,2020,R0008,Active members,DB,89837.0,20250716
AT,2020,R0008,Active members,DC,694114.0,20250716
AT,2020,R0009,Active members reported by exempted IORPs,DB,,20250716
AT,2020,R0009,Active members reported by exempted IORPs,DC,,20250716
AT,2020,R0010,Active members reported by non-exempted IORPs,DB,89837.0,20250716
AT,2020,R0010,Active members reported by non-exempted IORPs,DC,694114.0,20250716
AT,2020,R0018,Deferred members,DB,15023.0,20250716
AT,2020,R0018,Deferred members,DC,77772.0,20250716
AT,2020,R0019,Deferred members reported by exempted IORPs,DB,,20250716
AT,2020,R0019,Deferred members reported by exempted IORPs,DC,,20250716
AT,2020,R0020,Deferred members reported by non-exempted IORPs,DB,15023.0,20250716
AT,2020,R0020,Deferred members reported by non-exempted IORPs,DC,77772.0,20250716
AT,2020,R0028,Beneficiaries,DB,21847.0,20250716
AT,2020,R0028,Beneficiaries,DC,97825.0,20250716
AT,2020,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
AT,2020,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
AT,2020,R0030,Beneficiaries reported by non-exempted IORPs,DB,21847.0,20250716
AT,2020,R0030,Beneficiaries reported by non-exempted IORPs,DC,97825.0,20250716
AT,2020,R0040,New members,DB,7058.0,20250716
AT,2020,R0040,New members,DC,51103.0,20250716
AT,2020,R0050,Deaths,DB,560.0,20250716
AT,2020,R0050,Deaths,DC,2752.0,20250716
AT,2020,R0060,Commutations,DB,876.0,20250716
AT,2020,R0060,Commutations,DC,13502.0,20250716
AT,2020,R0070,Other exits,DB,2085.0,20250716
AT,2020,R0070,Other exits,DC,18181.0,20250716
AT,2020,R0080,New beneficiaries,DB,1266.0,20250716
AT,2020,R0080,New beneficiaries,DC,15335.0,20250716
AT,2020,R0090,of which new retired members,DB,1086.0,20250716
AT,2020,R0090,of which new retired members,DC,5460.0,20250716
AT,2021,R0008,Active members,DB,86902.0,20250716
AT,2021,R0008,Active members,DC,699054.0,20250716
AT,2021,R0009,Active members reported by exempted IORPs,DB,,20250716
AT,2021,R0009,Active members reported by exempted IORPs,DC,,20250716
AT,2021,R0010,Active members reported by non-exempted IORPs,DB,86902.0,20250716
AT,2021,R0010,Active members reported by non-exempted IORPs,DC,699054.0,20250716
AT,2021,R0018,Deferred members,DB,15629.0,20250716
AT,2021,R0018,Deferred members,DC,86305.0,20250716
AT,2021,R0019,Deferred members reported by exempted IORPs,DB,,20250716
AT,2021,R0019,Deferred members reported by exempted IORPs,DC,,20250716
AT,2021,R0020,Deferred members reported by non-exempted IORPs,DB,15629.0,20250716
AT,2021,R0020,Deferred members reported by non-exempted IORPs,DC,86305.0,20250716
AT,2021,R0028,Beneficiaries,DB,22411.0,20250716
AT,2021,R0028,Beneficiaries,DC,106027.0,20250716
AT,2021,R0029,Beneficiaries reported by exempted IORPs,DB,,20250716
AT,2021,R0029,Beneficiaries reported by exempted IORPs,DC,,20250716
AT,2021,R0030,Beneficiaries reported by non-exempted IORPs,DB,22411.0,20250716
AT,2021,R0030,Beneficiaries reported by non-exempted IORPs,DC,106027.0,20250716
AT,2021,R0040,New members,DB,7501.0,20250716
AT,2021,R0040,New members,DC,56267.0,20250716
